;fechamuestreo;patente;latitud;longitud;num_paradero;dist30s;dist_total;grupo
133;2018-08-01 17:02:35;BJFF-15;-33.4849796;-70.6499443;50;0.032051927839657;15.805943170847211;1
134;2018-08-01 17:03:05;BJFF-15;-33.48526;-70.6500244;50;0.032051927839657;15.83799509868687;1
135;2018-08-01 17:03:35;BJFF-15;-33.4865074;-70.6503601;51;0.1421557119119565;15.980150810598827;1
136;2018-08-01 17:04:05;BJFF-15;-33.489193;-70.6511078;51;0.3065700340254282;16.286720844624256;1
137;2018-08-01 17:04:35;BJFF-15;-33.4892845;-70.6511383;52;0.0105604750619857;16.297281319686242;1
138;2018-08-01 17:05:05;BJFF-15;-33.4897385;-70.6512604;52;0.0517367701272233;16.349018089813462;1
139;2018-08-01 17:05:35;BJFF-15;-33.4916916;-70.6517487;53;0.2218456757741255;16.57086376558759;1
140;2018-08-01 17:06:05;BJFF-15;-33.4933739;-70.652153;53;0.1907835932165794;16.76164735880417;1
141;2018-08-01 17:06:35;BJFF-15;-33.4948235;-70.6525879;54;0.1661568318575073;16.927804190661675;1
142;2018-08-01 17:07:05;BJFF-15;-33.4967537;-70.6530914;54;0.2196482930130144;17.14745248367469;1
143;2018-08-01 17:07:35;BJFF-15;-33.4986801;-70.6536636;54;0.2206795651393102;17.368132048814;1
144;2018-08-01 17:08:05;BJFF-15;-33.4996338;-70.653923;55;0.108740339034776;17.476872387848776;1
145;2018-08-01 17:08:35;BJFF-15;-33.5011826;-70.6543884;55;0.1775432464001147;17.654415634248892;1
146;2018-08-01 17:09:05;BJFF-15;-33.5027237;-70.6548233;56;0.1760434201021498;17.830459054351042;1
147;2018-08-01 17:09:35;BJFF-15;-33.5033073;-70.6550064;56;0.0670775199780337;17.897536574329074;1
148;2018-08-01 17:10:05;BJFF-15;-33.5034447;-70.6550446;56;0.0156836116797727;17.913220186008846;1
149;2018-08-01 17:10:35;BJFF-15;-33.5036564;-70.65511325;56;0.0243852926959693;17.937605478704818;1
150;2018-08-01 17:11:05;BJFF-15;-33.5038681;-70.6551819;57;0.0243852926959693;17.961990771400785;1
151;2018-08-01 17:11:35;BJFF-15;-33.5058556;-70.6557236;58;0.2266357282338202;18.18862649963461;1
152;2018-08-01 17:12:05;BJFF-15;-33.5082245;-70.6564026;59;0.2708286178362353;18.45945511747084;1
153;2018-08-01 17:12:35;BJFF-15;-33.509037;-70.656601;59;0.0921995739473894;18.551654691418232;1
154;2018-08-01 17:13:05;BJFF-15;-33.5117149;-70.6573715;59;0.3062181951120641;18.85787288653029;1
155;2018-08-01 17:13:35;BJFF-15;-33.5123405;-70.6575546;60;0.0716048681486077;18.929477754678903;1
156;2018-08-01 17:14:05;BJFF-15;-33.5142479;-70.6580811;61;0.2176378712770956;19.147115625956;1
157;2018-08-01 17:14:35;BJFF-15;-33.5144501;-70.6581268;61;0.0228792457592615;19.16999487171526;1
158;2018-08-01 17:15:05;BJFF-15;-33.5156784;-70.6584473;61;0.1397755448566846;19.309770416571947;1
159;2018-08-01 17:15:35;BJFF-15;-33.5182304;-70.6592178;62;0.2926218953843852;19.60239231195633;1
160;2018-08-01 17:16:05;BJFF-15;-33.5185051;-70.6592865;62;0.0312024378497394;19.633594749806072;1
161;2018-08-01 17:16:35;BJFF-15;-33.5199471;-70.6596985;62;0.1648294809585196;19.79842423076459;1
162;2018-08-01 17:17:05;BJFF-15;-33.5203438;-70.6598053;63;0.0452085150314929;19.84363274579608;1
163;2018-08-01 17:17:35;BJFF-15;-33.5219269;-70.6602325;63;0.1804326032240304;20.024065349020116;1
164;2018-08-01 17:18:05;BJFF-15;-33.5237541;-70.6607819;64;0.2094615264756358;20.23352687549575;1
165;2018-08-01 17:18:35;BJFF-15;-33.525547;-70.6612625;64;0.2042788246824335;20.43780570017818;1
166;2018-08-01 17:19:05;BJFF-15;-33.5261574;-70.6614532;65;0.0701377017070493;20.507943401885232;1
167;2018-08-01 17:19:35;BJFF-15;-33.5278893;-70.6619034;65;0.1970484629090667;20.704991864794295;1
168;2018-08-01 17:20:05;BJFF-15;-33.5292816;-70.6623001;66;0.1591239305060564;20.864115795300357;1
169;2018-08-01 17:20:35;BJFF-15;-33.5316124;-70.6629257;67;0.2655814505632045;21.12969724586356;1
170;2018-08-01 17:21:05;BJFF-15;-33.5323753;-70.6631393;67;0.0871105023999871;21.216807748263548;1
171;2018-08-01 17:21:35;BJFF-15;-33.5326653;-70.6632156;67;0.0330129741475223;21.24982072241107;1
172;2018-08-01 17:22:05;BJFF-15;-33.5339279;-70.6635742;68;0.1442757697990365;21.394096492210107;1
173;2018-08-01 17:22:35;BJFF-15;-33.5360184;-70.664032;68;0.2362943847538266;21.630390876963933;1
174;2018-08-01 17:23:05;BJFF-15;-33.5366364;-70.6642914;68;0.0728030473791279;21.70319392434306;1
175;2018-08-01 17:23:35;BJFF-15;-33.5373344;-70.6644669;68;0.0793003693227156;21.78249429366577;1
176;2018-08-01 17:24:05;BJFF-15;-33.5381317;-70.6646881;69;0.0909955145021686;21.873489808167943;1
177;2018-08-01 17:24:35;BJFF-15;-33.5408096;-70.665329;69;0.3036361528108015;22.177125960978746;1
178;2018-08-01 17:25:05;BJFF-15;-33.542408;-70.6659012;69;0.1854771396254106;22.36260310060416;1
179;2018-08-01 17:25:35;BJFF-15;-33.542923;-70.6662903;70;0.0676737929734818;22.43027689357764;1
180;2018-08-01 17:26:05;BJFF-15;-33.5442886;-70.667366;70;0.1816493959364414;22.61192628951408;1
181;2018-08-01 17:26:35;BJFF-15;-33.545948;-70.6686935;71;0.2217706265524421;22.83369691606652;1
182;2018-08-01 17:27:05;BJFF-15;-33.5478058;-70.670166;71;0.2475812710517313;23.08127818711825;1
183;2018-08-01 17:27:35;BJFF-15;-33.5488815;-70.6710129;72;0.1430626473050194;23.224340834423277;1
184;2018-08-01 17:28:05;BJFF-15;-33.5490799;-70.6711655;72;0.0262045910382974;23.25054542546157;1
185;2018-08-01 17:28:35;BJFF-15;-33.5506783;-70.6724167;73;0.2122114961498057;23.462756921611376;1
186;2018-08-01 17:29:05;BJFF-15;-33.5529823;-70.6742249;73;0.3061249832029285;23.768881904814304;1
187;2018-08-01 17:29:35;BJFF-15;-33.5534973;-70.674614;73;0.0676714622979984;23.8365533671123;1
188;2018-08-01 17:30:05;BJFF-15;-33.5537529;-70.6747971;74;0.0331010376199746;23.86965440473228;1
189;2018-08-01 17:30:35;BJFF-15;-33.5547447;-70.6755676;74;0.1313781737405268;24.0010325784728;1
190;2018-08-01 17:31:05;BJFF-15;-33.5573349;-70.677597;75;0.3439734622392403;24.345006040712043;1
191;2018-08-01 17:31:35;BJFF-15;-33.5592117;-70.6790771;76;0.2497230330914128;24.594729073803457;1
192;2018-08-01 17:32:05;BJFF-15;-33.5605583;-70.6801453;77;0.1794925292460163;24.774221603049472;1
193;2018-08-01 17:32:35;BJFF-15;-33.5636597;-70.6826324;79;0.41477122956833;25.188992832617803;1
194;2018-08-01 17:33:05;BJFF-15;-33.5637245;-70.6826859;79;0.0087459200019747;25.197738752619777;1
195;2018-08-01 17:33:35;BJFF-15;-33.5659561;-70.684494;80;0.2994006932787446;25.49713944589852;1
196;2018-08-01 17:34:05;BJFF-15;-33.5661316;-70.6846313;80;0.0232949999094328;25.52043444580796;1
197;2018-08-01 17:34:35;BJFF-15;-33.5681267;-70.686264;81;0.2685123544141946;25.78894680022215;1
198;2018-08-01 17:35:05;BJFF-15;-33.5690155;-70.6869202;81;0.1160332553415916;25.904980055563744;1
199;2018-08-01 17:35:35;BJFF-15;-33.5718307;-70.689003;82;0.3677343993121985;26.272714454875945;1
200;2018-08-01 17:36:05;BJFF-15;-33.5733948;-70.6901474;82;0.2036894827250922;26.476403937601034;1
201;2018-08-01 17:36:35;BJFF-15;-33.5734901;-70.6902084;83;0.0120099906928293;26.488413928293863;1
202;2018-08-01 17:37:05;BJFF-15;-33.5738754;-70.6904907;83;0.0501953613652695;26.53860928965913;1
203;2018-08-01 17:37:35;BJFF-15;-33.5755692;-70.6917419;83;0.2211545230990196;26.759763812758152;1
204;2018-08-01 17:38:05;BJFF-15;-33.5757141;-70.6918488;83;0.0189124182387841;26.778676230996936;1
205;2018-08-01 17:38:35;BJFF-15;-33.5764542;-70.6923904;84;0.0963851499239372;26.875061380920872;1
206;2018-08-01 17:39:05;BJFF-15;-33.5782318;-70.6936951;84;0.2316871137817653;27.10674849470264;1
207;2018-08-01 17:39:35;BJFF-15;-33.5792961;-70.694458;85;0.1378421171604185;27.244590611863057;1
208;2018-08-01 17:40:05;BJFF-15;-33.5813751;-70.6959305;85;0.2684197985054036;27.51301041036846;1
209;2018-08-01 17:40:35;BJFF-15;-33.582325;-70.6966782;86;0.1263091058993909;27.63931951626785;1
210;2018-08-01 17:41:05;BJFF-15;-33.5823669;-70.6967087;86;0.0054486661277615;27.64476818239561;1
211;2018-08-01 17:41:35;BJFF-15;-33.5848579;-70.6987915;86;0.337560654037871;27.982328836433485;1
212;2018-08-01 17:42:05;BJFF-15;-33.5857048;-70.6998291;87;0.134560003559482;28.116888839992967;1
213;2018-08-01 17:42:35;BJFF-15;-33.5855331;-70.7014618;87;0.1524409071487969;28.269329747141764;1
214;2018-08-01 17:43:05;BJFF-15;-33.5853081;-70.7031937;87;0.1623692303837502;28.431698977525517;1
215;2018-08-01 17:43:35;BJFF-15;-33.5852928;-70.7040787;88;0.081997521247548;28.51369649877306;1
216;2018-08-01 17:44:05;BJFF-15;-33.5883751;-70.7052536;89;0.3596009368546607;28.873297435627723;1
217;2018-08-01 17:44:35;BJFF-15;-33.5892792;-70.7055817;90;0.1050249529351075;28.97832238856283;1
218;2018-08-01 17:45:05;BJFF-15;-33.5905685;-70.7060394;90;0.1495011154623585;29.127823504025187;1
219;2018-08-01 17:45:35;BJFF-15;-33.5910683;-70.7062149;90;0.0579040079238545;29.185727511949043;1
220;2018-08-01 17:46:05;BJFF-15;-33.592205;-70.7066269;90;0.1320308051966097;29.317758317145653;1
221;2018-08-01 17:46:35;BJFF-15;-33.5928535;-70.7068939;90;0.0762329865843316;29.393991303729983;1
222;2018-08-01 17:47:05;BJFF-15;-33.5943413;-70.7073975;91;0.1718862307684007;29.565877534498384;1
223;2018-08-01 17:47:35;BJFF-15;-33.5959015;-70.7078552;92;0.1785910882560478;29.744468622754432;1
224;2018-08-01 17:48:05;BJFF-15;-33.5959778;-70.7072601;92;0.0557679292222904;29.800236551976724;1
225;2018-08-01 17:48:35;BJFF-15;-33.596077;-70.7067947;92;0.0444947562397712;29.844731308216492;1
226;2018-08-01 17:49:05;BJFF-15;-33.5962334;-70.7059937;92;0.0762003491565984;29.92093165737309;1
227;2018-08-01 17:49:35;BJFF-15;-33.5963326;-70.7053299;92;0.0624633398863371;29.98339499725943;1
228;2018-08-01 17:50:05;BJFF-15;-33.5967751;-70.702446;93;0.2716022337378229;30.25499723099725;1
229;2018-08-01 17:50:35;BJFF-15;-33.5970268;-70.7008362;93;0.1517038737989565;30.40670110479621;1
230;2018-08-01 17:51:05;BJFF-15;-33.5973015;-70.6990814;94;0.1653746057236035;30.57207571051981;1
231;2018-08-01 17:51:35;BJFF-15;-33.5983467;-70.6957474;95;0.3299392375798311;30.902014948099644;1
232;2018-08-01 17:52:05;BJFF-15;-33.5988998;-70.6945419;96;0.1274696376444164;31.02948458574406;1
233;2018-08-01 17:52:35;BJFF-15;-33.5986557;-70.6941528;96;0.045115917473487;31.074600503217543;1
234;2018-08-01 17:53:05;BJFF-15;-33.5984383;-70.694046;96;0.026119155286769;31.10071965850432;1
235;2018-08-01 20:08:05;BJFG-70;-33.362602249999995;-70.68176270000001;1;0.0;0.0;1
236;2018-08-01 20:08:35;BJFG-70;-33.362636575;-70.6817398;1;0.0043701251855899;0.0043701251855899;1
237;2018-08-01 20:09:05;BJFG-70;-33.3626709;-70.6817169;1;0.0043701251855899;0.0087402503711799;1
238;2018-08-01 20:09:35;BJFG-70;-33.3637466;-70.6814194;1;0.1227620686377138;0.1315023190088938;1
239;2018-08-01 20:10:05;BJFG-70;-33.3640556;-70.6813583;1;0.0348246202037512;0.166326939212645;1
240;2018-08-01 20:10:35;BJFG-70;-33.3648376;-70.6812134;1;0.0879896426409876;0.2543165818536326;1
241;2018-08-01 20:11:05;BJFG-70;-33.3652954;-70.6811295;1;0.0514979080064313;0.305814489860064;1
242;2018-08-01 20:11:35;BJFG-70;-33.3653717;-70.6811142;2;0.0086025345504285;0.3144170244104926;1
